ID	alias	date	continent	country	country2	country3	name	hospital	replicate	HWW	most_used_ab*	description	hospital_section	hospital_description	no_of_beds	lat	long	sample_material	DNA_ng_µl	A260_280	M_Seqs_trimmed	plot_name
BH29_S93	BH29	29_11_19	West Africa	Benin	Benin	BENN HWW B	BENN HWW B	B	NO	YES	amoxicillin + clavulanic acid, amoxicillin, aztreonam, ceftriazon, ciprofloxacilin, colistin, doxyciclin, erythromicine, fosfomycin, gentamicin, imipenem, meronem, netilmicin, ofloxacilin	surgery unit, open septic tank next to wall	surgery	Secondary hospital	110	6.3880014	2.3735619	water	73.649	1.903	34.6	hospital effluent
BH30_S94	BH30	29_11_19	West Africa	Benin	Benin	BENN HWW B	BENN HWW B	B	NO	YES	amoxicillin + clavulanic acid, amoxicillin, aztreonam, ceftriazon, ciprofloxacilin, colistin, doxyciclin, erythromicine, fosfomycin, gentamicin, imipenem, meronem, netilmicin, ofloxacilin	surgery unit, 1st peripheral septic tank	surgery	Secondary hospital	110	6.3880014	2.3735619	water	71.191	1.887	33.9	hospital effluent
BH31_S95	BH31	29_11_19	West Africa	Benin	Benin	BENN HWW B	BENN HWW B	B	NO	YES	amoxicillin + clavulanic acid, amoxicillin, aztreonam, ceftriazon, ciprofloxacilin, colistin, doxyciclin, erythromicine, fosfomycin, gentamicin, imipenem, meronem, netilmicin, ofloxacilin	surgery unit, 2nd pheripheral septic tank	surgery	Secondary hospital	110	6.3880014	2.3735619	water	55.153	1.883	33.7	hospital effluent
BH33_S97	BH33	29_11_19	West Africa	Benin	Benin	BENN HWW B	BENN HWW B	B	NO	YES	amoxicillin + clavulanic acid, amoxicillin, aztreonam, ceftriazon, ciprofloxacilin, colistin, doxyciclin, erythromicine, fosfomycin, gentamicin, imipenem, meronem, netilmicin, ofloxacilin	surgery unit, 3rd peripheral septic tank	surgery	Secondary hospital	110	6.3880014	2.3735619	water	35.929	1.869	11.8	hospital effluent
BH34A_S98	BH34A	29_11_19	West Africa	Benin	Benin	BENN HWW B	BENN HWW B	B	NO	YES	amoxicillin + clavulanic acid, amoxicillin, aztreonam, ceftriazon, ciprofloxacilin, colistin, doxyciclin, erythromicine, fosfomycin, gentamicin, imipenem, meronem, netilmicin, ofloxacilin	surgery unit, 1.3 m water depth, central septic tank, sample from 10 cm below surface	surgery	Secondary hospital	110	6.3880014	2.3735619	water	57.981	1.906	27.1	hospital effluent
BH34B_S99	BH34B	29_11_19	West Africa	Benin	Benin	BENN HWW B	BENN HWW B	B	YES	YES	amoxicillin + clavulanic acid, amoxicillin, aztreonam, ceftriazon, ciprofloxacilin, colistin, doxyciclin, erythromicine, fosfomycin, gentamicin, imipenem, meronem, netilmicin, ofloxacilin	technical replicate of BH34.A	surgery	Secondary hospital	110	6.3880014	2.3735619	water	57.981	1.906	30.3	hospital effluent
BH35_S100	BH35	29_11_19	West Africa	Benin	Benin	BENN HWW B	BENN HWW B	B	NO	YES	amoxicillin + clavulanic acid, amoxicillin, aztreonam, ceftriazon, ciprofloxacilin, colistin, doxyciclin, erythromicine, fosfomycin, gentamicin, imipenem, meronem, netilmicin, ofloxacilin	surgery for minor operations, septic tank	surgery	Secondary hospital	110	6.3880014	2.3735619	water	95.977	1.862	32.5	hospital effluent
BH36_S101	BH36	29_11_19	West Africa	Benin	Benin	BENN HWW B	BENN HWW B	B	NO	YES	amoxicillin + clavulanic acid, amoxicillin, aztreonam, ceftriazon, ciprofloxacilin, colistin, doxyciclin, erythromicine, fosfomycin, gentamicin, imipenem, meronem, netilmicin, ofloxacilin	maternity, septic tank	maternity	Secondary hospital	110	6.3880014	2.3735619	water	67.368	1.92	28.9	hospital effluent
BH37_S102	BH37	29_11_19	West Africa	Benin	Benin	BENN HWW B	BENN HWW B	B	NO	YES	amoxicillin + clavulanic acid, amoxicillin, aztreonam, ceftriazon, ciprofloxacilin, colistin, doxyciclin, erythromicine, fosfomycin, gentamicin, imipenem, meronem, netilmicin, ofloxacilin	BH35, BH36, central septic tank, surface water	other	Secondary hospital	110	6.3880014	2.3735619	water	98.298	1.884	21.9	hospital effluent
BH38_S103	BH38	29_11_19	West Africa	Benin	Benin	BENN HWW B	BENN HWW B	B	NO	YES	amoxicillin + clavulanic acid, amoxicillin, aztreonam, ceftriazon, ciprofloxacilin, colistin, doxyciclin, erythromicine, fosfomycin, gentamicin, imipenem, meronem, netilmicin, ofloxacilin	BH35, BH36, central septic tank, water from 1,4 m depth	other	Secondary hospital	110	6.3880014	2.3735619	water	68.516	1.931	27.8	hospital effluent
BH39_S104	BH39	29_11_19	West Africa	Benin	Benin	BENN HWW B	BENN HWW B	B	NO	YES	amoxicillin + clavulanic acid, amoxicillin, aztreonam, ceftriazon, ciprofloxacilin, colistin, doxyciclin, erythromicine, fosfomycin, gentamicin, imipenem, meronem, netilmicin, ofloxacilin	hospital area, septic tank for toilets	other	Secondary hospital	110	6.3880014	2.3735619	water	108.617	1.887	23.6	hospital effluent
BH44_S105	BH44	09_12_19	West Africa	Benin	Benin	BENN HWW C	BENN HWW C	C	NO	YES	amoxycillin + clavulanic acid, ceftazidin, cefuroxim, ertapenem, erytromycin, fosfomycin, streptomycin, tobramycin, vancomycin	central septic tank, water from 10 cm depth	other	Health clinic	50	6.36536	2.41833	water	49.381	1.904	28.8	hospital effluent
BH46_S107	BH46	09_12_19	West Africa	Benin	Benin	BENN HWW C	BENN HWW C	C	NO	YES	amoxycillin + clavulanic acid, ceftazidin, cefuroxim, ertapenem, erytromycin, fosfomycin, streptomycin, tobramycin, vancomycin	pediatry, septic tank	pediatry	Health clinic	50	6.36536	2.41833	water	109.664	1.867	28.6	hospital effluent
BH47_S108	BH47	09_12_19	West Africa	Benin	Benin	BENN HWW C	BENN HWW C	C	NO	YES	amoxycillin + clavulanic acid, ceftazidin, cefuroxim, ertapenem, erytromycin, fosfomycin, streptomycin, tobramycin, vancomycin	hospitalization ward, vaccination room, septic tank	other	Health clinic	50	6.36536	2.41833	water	35.135	1.954	36.8	hospital effluent
BH48_S109	BH48	09_12_19	West Africa	Benin	Benin Env.	BENN other	BENN puddle at yard C	C	NO	NO	amoxycillin + clavulanic acid, ceftazidin, cefuroxim, ertapenem, erytromycin, fosfomycin, streptomycin, tobramycin, vancomycin	water pool surrounding the surgery room septic tank	surgery	Health clinic	50	6.36536	2.41833	water	35.005	1.993	41	hospital effluent
BH49_S110	BH49	09_12_19	West Africa	Benin	Benin	BENN HWW C	BENN HWW C	C	NO	YES	amoxycillin + clavulanic acid, ceftazidin, cefuroxim, ertapenem, erytromycin, fosfomycin, streptomycin, tobramycin, vancomycin	maternity clinic, septic tank	maternity	Health clinic	50	6.36536	2.41833	water	37.726	1.96	35.3	hospital effluent
BH50_S111	BH50	09_12_19	West Africa	Benin	Benin	BENN HWW C	BENN HWW C	C	NO	YES	amoxycillin + clavulanic acid, ceftazidin, cefuroxim, ertapenem, erytromycin, fosfomycin, streptomycin, tobramycin, vancomycin	peripheral septic tank, mainly collecting toilet waters, sample from under floating matter	other	Health clinic	50	6.36536	2.41833	water	85.95	1.894	37.2	hospital effluent
BH52_S112	BH52	09_12_19	West Africa	Benin	Benin Env.	BENN other	BENN hand-washing C	C	NO	NO	amoxycillin + clavulanic acid, ceftazidin, cefuroxim, ertapenem, erytromycin, fosfomycin, streptomycin, tobramycin, vancomycin	water for washing hands	treated, hand washing	Health clinic	50	6.36536	2.41833	water	4.303	2.942	36.8	water used for handwashing
BH58_S113	BH58	11_12_19	West Africa	Benin	Benin	BENN HWW D	BENN HWW D	D	NO	YES	amoxicillin + clavulanic acid, amoxicillin, aztreonam, ceftriazon, ciprofloxacilin, colistin, doxyciclin, ertapenem, erythromicine, fosfomycin, gentamicinimipenem, ofloxacilin	sump next to septic tank BH60, water from 2 m depth	other	Health clinic	95	6.3627373	2.4214123	water	113.889	1.899	36.2	hospital effluent
BH60_S115	BH60	11_12_19	West Africa	Benin	Benin	BENN HWW D	BENN HWW D	D	NO	YES	amoxicillin + clavulanic acid, amoxicillin, aztreonam, ceftriazon, ciprofloxacilin, colistin, doxyciclin, ertapenem, erythromicine, fosfomycin, gentamicinimipenem, ofloxacilin	emergency, surgery, ophtamology, ward sections, septic tank, water from 50 cm depth	other	Health clinic	95	6.3627373	2.4214123	water	109.83	1.9	34.8	hospital effluent
BH61_S116	BH61	11_12_19	West Africa	Benin	Benin	BENN HWW D	BENN HWW D	D	NO	YES	amoxicillin + clavulanic acid, amoxicillin, aztreonam, ceftriazon, ciprofloxacilin, colistin, doxyciclin, ertapenem, erythromicine, fosfomycin, gentamicinimipenem, ofloxacilin	maternity, surgery, laboratory sections, septic tank, water from 1 m depth	other	Health clinic	95	6.3627373	2.4214123	water	55.559	1.903	38.2	hospital effluent
BSE100_S122	BSE100	04_12_19	West Africa	Benin	Benin Env.	BENN other	BENN river P (drinking)	P	NO	NO	nd	drinking water, river Caiman	river, drinking water	nd	nd	7.911461978	1.975887643	water	39447	1851	35.4	river water, also for drinking
BSE74_S119	BSE74	04_12_19	West Africa	Benin	Benin Env.	BENN other	BENN river Q (drinking)	Q	NO	NO	nd	drinking water, river Zoun	river, drinking water	nd	nd	7.911461978	1.975887643	water	19607	1.59	39.7	river water, also for drinking
BSE79_S120	BSE79	04_12_19	West Africa	Benin	Benin Env.	BENN other	BENN river R (drinking)	R	NO	NO	nd	drinking water, Bedrock river	river, drinking water	nd	nd	7.911461978	1.975887643	water	59633	1839	28.4	river water, also for drinking
BSE93_S121	BSE93	04_12_19	West Africa	Benin	Benin Env.	BENN other	BENN tap water S (drinking)	S	NO	NO	nd	drinking water (tap water) 	treated, drinking water	nd	nd	7.911461978	1.975887643	water	6687	1.86	37.7	tap water
BFH1_S123	BFH1	22_11_19	West Africa	Burkina Faso	Burkina Faso	BF HWW E	BF HWW E	E	NO	YES	amoxicillin + clavulanic acid, amoxicilline, ampicilline, ceftriaxone, chloramphenicole, ciprofloxacin, cloxacillin, cotrimoxazole, doxycyclin, erythomycin, gentamycin, metronidazole, penicillin, rifampicin, tetracycline	central septic tank	other	Primary hospital	141	12.6298549	-2.1442905	water	81.408	1.896	31.3	hospital effluent
BFH4_S124	BFH4	22_11_19	West Africa	Burkina Faso	Burkina Faso	BF HWW E	BF HWW E	E	NO	YES	amoxicillin + clavulanic acid, amoxicilline, ampicilline, ceftriaxone, chloramphenicole, ciprofloxacin, cloxacillin, cotrimoxazole, doxycyclin, erythomycin, gentamycin, metronidazole, penicillin, rifampicin, tetracycline	pediatrics, septic tank	pediatry	Primary hospital	141	12.6298549	-2.1442905	water	8.071	2.179	31.1	hospital effluent
BFH6_S125	BFH6	28_11_19	West Africa	Burkina Faso	Burkina Faso	BF HWW F	BF HWW F	F	NO	YES	amoxicillin + clavulanic acid, amoxicilline, ampicilline, ceftriaxone, chloramphenicole, ciprofloxacin, cloxacillin, cotrimoxazole, doxycyclin, erythomycin, gentamycin, metronidazole, penicillin, rifampicin, tetracycline	hospitalization, maternity, surgery, after surgery or delivery with complication or not, people spend a couple of days for care before leaving, septic tank	other	Health clinic	91	12.5	-1.66667	water	54.188	1.91	31.8	hospital effluent
BFH8_S126	BFH8	28_11_19	West Africa	Burkina Faso	Burkina Faso	BF HWW F	BF HWW F	F	NO	YES	amoxicillin + clavulanic acid, amoxicilline, ampicilline, ceftriaxone, chloramphenicole, ciprofloxacin, cloxacillin, cotrimoxazole, doxycyclin, erythomycin, gentamycin, metronidazole, penicillin, rifampicin, tetracycline	surgery, septic tank	surgery	Health clinic	91	12.5	-1.66667	water	78.986	1.87	34.3	hospital effluent
BFH9_S127	BFH9	28_11_19	West Africa	Burkina Faso	Burkina Faso	BF HWW F	BF HWW F	F	NO	YES	amoxicillin + clavulanic acid, amoxicilline, ampicilline, ceftriaxone, chloramphenicole, ciprofloxacin, cloxacillin, cotrimoxazole, doxycyclin, erythomycin, gentamycin, metronidazole, penicillin, rifampicin, tetracycline	mortuary, septic tank	other	Health clinic	91	12.5	-1.66667	water	111.056	1.89	34.1	hospital effluent
BFH10_S128	BFH10	28_11_19	West Africa	Burkina Faso	Burkina Faso	BF HWW F	BF HWW F	F	NO	YES	amoxicillin + clavulanic acid, amoxicilline, ampicilline, ceftriaxone, chloramphenicole, ciprofloxacin, cloxacillin, cotrimoxazole, doxycyclin, erythomycin, gentamycin, metronidazole, penicillin, rifampicin, tetracycline	delivery, surgery rooms, septic tank	other	Health clinic	91	12.5	-1.66667	water	119.477	1.869	32	hospital effluent
BFH11_S129	BFH11	28_11_19	West Africa	Burkina Faso	Burkina Faso	BF HWW F	BF HWW F	F	NO	YES	amoxicillin + clavulanic acid, amoxicilline, ampicilline, ceftriaxone, chloramphenicole, ciprofloxacin, cloxacillin, cotrimoxazole, doxycyclin, erythomycin, gentamycin, metronidazole, penicillin, rifampicin, tetracycline	laboratory, septic tank	other	Health clinic	91	12.5	-1.66667	water	103.574	1.891	31.3	hospital effluent
BFH12_S130	BFH12	28_11_19	West Africa	Burkina Faso	Burkina Faso	BF HWW F	BF HWW F	F	NO	YES	amoxicillin + clavulanic acid, amoxicilline, ampicilline, ceftriaxone, chloramphenicole, ciprofloxacin, cloxacillin, cotrimoxazole, doxycyclin, erythomycin, gentamycin, metronidazole, penicillin, rifampicin, tetracycline	peadiatrics, septic tank	pediatry	Health clinic	91	12.5	-1.66667	water	123.375	1.878	24.5	hospital effluent
BFH13_S131	BFH13	28_11_19	West Africa	Burkina Faso	Burkina Faso	BF HWW G	BF HWW G	G	NO	YES	amoxicillin + clavulanic acid, amoxicilline, ampicilline, ceftriaxone, chloramphenicole, ciprofloxacin, cloxacillin, cotrimoxazole, doxycyclin, erythomycin, gentamycin, metronidazole, penicillin, rifampicin, tetracycline	delivery room, septic tank	maternity	Private primary hospital	nd	12.5	-1.66667	water	68.791	1.882	31.8	hospital effluent
BFH14_S132	BFH14	28_11_19	West Africa	Burkina Faso	Burkina Faso	BF HWW G	BF HWW G	G	NO	YES	amoxicillin + clavulanic acid, amoxicilline, ampicilline, ceftriaxone, chloramphenicole, ciprofloxacin, cloxacillin, cotrimoxazole, doxycyclin, erythomycin, gentamycin, metronidazole, penicillin, rifampicin, tetracycline	hospitalization, maternity, septic tank	maternity	Private primary hospital	nd	12.5	-1.66667	water	23.502	1.919	33.7	hospital effluent
BFH15_S133	BFH15	28_11_19	West Africa	Burkina Faso	Burkina Faso	BF HWW G	BF HWW G	G	NO	YES	amoxicillin + clavulanic acid, amoxicilline, ampicilline, ceftriaxone, chloramphenicole, ciprofloxacin, cloxacillin, cotrimoxazole, doxycyclin, erythomycin, gentamycin, metronidazole, penicillin, rifampicin, tetracycline	hospitalization, maternity, surgery, septic tank	other	Private primary hospital	nd	12.5	-1.66667	water	24.754	1.967	30.9	hospital effluent
BFH16_S134	BFH16	04_12_19	West Africa	Burkina Faso	Burkina Faso	BF HWW H	BF HWW H	H	NO	YES	amoxicillin + clavulanic acid, amoxicilline, ampicilline, ceftriaxone, chloramphenicole, ciprofloxacin, cloxacillin, cotrimoxazole, doxycyclin, erythomycin, gentamycin, metronidazole, penicillin, rifampicin, tetracycline	peadiatrics hospitalization, septic tank	pediatry	Secondary hospital, a regional reference hospital	232	12.25263	-2.36272	water	310.331	1.858	30.3	hospital effluent
BFH17_S135	BFH17	04_12_19	West Africa	Burkina Faso	Burkina Faso	BF HWW H	BF HWW H	H	NO	YES	amoxicillin + clavulanic acid, amoxicilline, ampicilline, ceftriaxone, chloramphenicole, ciprofloxacin, cloxacillin, cotrimoxazole, doxycyclin, erythomycin, gentamycin, metronidazole, penicillin, rifampicin, tetracycline	hospitalization rooms for people over 15 year old, septic tank	other	Secondary hospital, a regional reference hospital	232	12.25263	-2.36272	water	10.984	2.27	20.8	hospital effluent
BFH18_S136	BFH18	04_12_19	West Africa	Burkina Faso	Burkina Faso	BF HWW H	BF HWW H	H	NO	YES	amoxicillin + clavulanic acid, amoxicilline, ampicilline, ceftriaxone, chloramphenicole, ciprofloxacin, cloxacillin, cotrimoxazole, doxycyclin, erythomycin, gentamycin, metronidazole, penicillin, rifampicin, tetracycline	delivery room, septic tank	maternity	Secondary hospital, a regional reference hospital	232	12.25263	-2.36272	water	363.053	1.867	25.5	hospital effluent
BFH19_S137	BFH19	04_12_19	West Africa	Burkina Faso	Burkina Faso	BF HWW H	BF HWW H	H	NO	YES	amoxicillin + clavulanic acid, amoxicilline, ampicilline, ceftriaxone, chloramphenicole, ciprofloxacin, cloxacillin, cotrimoxazole, doxycyclin, erythomycin, gentamycin, metronidazole, penicillin, rifampicin, tetracycline	gynecology, operating room, septic tank	other	Secondary hospital, a regional reference hospital	232	12.25263	-2.36272	water	114.428	1.894	40.7	hospital effluent
BFH20_S138	BFH20	04_12_19	West Africa	Burkina Faso	Burkina Faso	BF HWW H	BF HWW H	H	NO	YES	amoxicillin + clavulanic acid, amoxicilline, ampicilline, ceftriaxone, chloramphenicole, ciprofloxacin, cloxacillin, cotrimoxazole, doxycyclin, erythomycin, gentamycin, metronidazole, penicillin, rifampicin, tetracycline	maternity hospitalization, septic tank	maternity	Secondary hospital, a regional reference hospital	232	12.25263	-2.36272	water	405.714	1.887	35.5	hospital effluent
BFH21_S139	BFH21	04_12_19	West Africa	Burkina Faso	Burkina Faso	BF HWW H	BF HWW H	H	NO	YES	amoxicillin + clavulanic acid, amoxicilline, ampicilline, ceftriaxone, chloramphenicole, ciprofloxacin, cloxacillin, cotrimoxazole, doxycyclin, erythomycin, gentamycin, metronidazole, penicillin, rifampicin, tetracycline	surgery emergency, hospitalization, septic tank	surgery	Secondary hospital, a regional reference hospital	232	12.25263	-2.36272	water	32.435	1.944	37.3	hospital effluent
BFH22_S140	BFH22	04_12_19	West Africa	Burkina Faso	Burkina Faso	BF HWW H	BF HWW H	H	NO	YES	amoxicillin + clavulanic acid, amoxicilline, ampicilline, ceftriaxone, chloramphenicole, ciprofloxacin, cloxacillin, cotrimoxazole, doxycyclin, erythomycin, gentamycin, metronidazole, penicillin, rifampicin, tetracycline	laboratory, septic tank	other	Secondary hospital, a regional reference hospital	232	12.25263	-2.36272	water	142.195	1.863	31.2	hospital effluent
BFH23_S141	BFH23	04_12_19	West Africa	Burkina Faso	Burkina Faso	BF HWW H	BF HWW H	H	NO	YES	amoxicillin + clavulanic acid, amoxicilline, ampicilline, ceftriaxone, chloramphenicole, ciprofloxacin, cloxacillin, cotrimoxazole, doxycyclin, erythomycin, gentamycin, metronidazole, penicillin, rifampicin, tetracycline	emergency, external consultation, septic tank	other	Secondary hospital, a regional reference hospital	232	12.25263	-2.36272	water	33.593	1.968	32.2	hospital effluent
BFH25_S143	BFH25	04_12_19	West Africa	Burkina Faso	Burkina Faso	BF HWW H	BF HWW H	H	NO	YES	amoxicillin + clavulanic acid, amoxicilline, ampicilline, ceftriaxone, chloramphenicole, ciprofloxacin, cloxacillin, cotrimoxazole, doxycyclin, erythomycin, gentamycin, metronidazole, penicillin, rifampicin, tetracycline	central septic tank where all HWW channels are drained	other	Secondary hospital, a regional reference hospital	232	12.25263	-2.36272	water	12.056	2.208	30.2	hospital effluent
BFH26_S144	BFH26	04_12_19	West Africa	Burkina Faso	Burkina Faso Env.	BF other	BF exit after biological treatment H	H	NO	NO	amoxicillin + clavulanic acid, amoxicilline, ampicilline, ceftriaxone, chloramphenicole, ciprofloxacin, cloxacillin, cotrimoxazole, doxycyclin, erythomycin, gentamycin, metronidazole, penicillin, rifampicin, tetracycline	exit after biological treatment (in the municipality channel)	treated, receiving municipality channel	Secondary hospital, a regional reference hospital	232	12.25263	-2.36272	water	21.877	1.92	33.5	municipality channel receiving biologically treated HWW
BFH27_S145	BFH27	04_12_19	West Africa	Burkina Faso	Burkina Faso Env.	BF other	BF wetland receiving treated HWW H	H	NO	NO	amoxicillin + clavulanic acid, amoxicilline, ampicilline, ceftriaxone, chloramphenicole, ciprofloxacin, cloxacillin, cotrimoxazole, doxycyclin, erythomycin, gentamycin, metronidazole, penicillin, rifampicin, tetracycline	wetland receiving treated wastewater	treated, receiving river	Secondary hospital, a regional reference hospital	232	12.25263	-2.36272	water	43.438	1.91	37.3	wetland receiving treated wastewater
BFH28_S146	BFH28	04_12_19	West Africa	Burkina Faso	Burkina Faso	BF HWW H	BF HWW H	H	NO	YES	amoxicillin + clavulanic acid, amoxicilline, ampicilline, ceftriaxone, chloramphenicole, ciprofloxacin, cloxacillin, cotrimoxazole, doxycyclin, erythomycin, gentamycin, metronidazole, penicillin, rifampicin, tetracycline	peadiatric emergency, septic tank	pediatry	Secondary hospital, a regional reference hospital	232	12.25263	-2.36272	water	127.39	1.878	33.2	hospital effluent
BFH29_S147	BFH29	12_12_19	West Africa	Burkina Faso	Burkina Faso	BF HWW I	BF HWW I	I	NO	YES	amoxicillin + clavulanic acid, amoxicilline, ampicilline, ceftriaxone, chloramphenicole, ciprofloxacin, cloxacillin, cotrimoxazole, doxycyclin, erythomycin, gentamycin, metronidazole, penicillin, rifampicin, tetracycline	urology, infectious diseases, pneumology, septic tank	other	Tertiary hospital, a national refrence hospital	733	12.5	-1.66667	water	51.106	1.893	35.7	hospital effluent
BFH30_S148	BFH30	12_12_19	West Africa	Burkina Faso	Burkina Faso	BF HWW I	BF HWW I	I	NO	YES	amoxicillin + clavulanic acid, amoxicilline, ampicilline, ceftriaxone, chloramphenicole, ciprofloxacin, cloxacillin, cotrimoxazole, doxycyclin, erythomycin, gentamycin, metronidazole, penicillin, rifampicin, tetracycline	urology, infectious diseases, pneumology, day hospital, dialysis, blood bank, cren (service where malnourished children are cared), septic tank	other	Tertiary hospital, a national refrence hospital	733	12.5	-1.66667	water	53.677	1.871	32.5	hospital effluent
BFH31_S149	BFH31	12_12_19	West Africa	Burkina Faso	Burkina Faso	BF HWW I	BF HWW I	I	NO	YES	amoxicillin + clavulanic acid, amoxicilline, ampicilline, ceftriaxone, chloramphenicole, ciprofloxacin, cloxacillin, cotrimoxazole, doxycyclin, erythomycin, gentamycin, metronidazole, penicillin, rifampicin, tetracycline	anatomy pathology laboratory, orl, ophtalmology,laboratory (hematology-biochemestry), surgery (ear, nose, and throat), septic tank	other	Tertiary hospital, a national refrence hospital	733	12.5	-1.66667	water	34.005	1.839	30.7	hospital effluent
BFH32_S150	BFH32	12_12_19	West Africa	Burkina Faso	Burkina Faso	BF HWW I	BF HWW I	I	NO	YES	amoxicillin + clavulanic acid, amoxicilline, ampicilline, ceftriaxone, chloramphenicole, ciprofloxacin, cloxacillin, cotrimoxazole, doxycyclin, erythomycin, gentamycin, metronidazole, penicillin, rifampicin, tetracycline	hospitalization, visceral surgery, central sterilization, gastrology, internal medicine, peadiatric emergency, septic tank	other	Tertiary hospital, a national refrence hospital	733	12.5	-1.66667	water	39.518	1.905	34.7	hospital effluent
BFH33_S151	BFH33	12_12_19	West Africa	Burkina Faso	Burkina Faso	BF HWW I	BF HWW I	I	NO	YES	amoxicillin + clavulanic acid, amoxicilline, ampicilline, ceftriaxone, chloramphenicole, ciprofloxacin, cloxacillin, cotrimoxazole, doxycyclin, erythomycin, gentamycin, metronidazole, penicillin, rifampicin, tetracycline	kitchen, laboratoty, trauma, endoscopy, peadiatrics, cardiology consultation, septic tank	other	Tertiary hospital, a national refrence hospital	733	12.5	-1.66667	water	72.642	1.857	33.7	hospital effluent
BFH34_S152	BFH34	12_12_19	West Africa	Burkina Faso	Burkina Faso	BF HWW I	BF HWW I	I	NO	YES	amoxicillin + clavulanic acid, amoxicilline, ampicilline, ceftriaxone, chloramphenicole, ciprofloxacin, cloxacillin, cotrimoxazole, doxycyclin, erythomycin, gentamycin, metronidazole, penicillin, rifampicin, tetracycline	bacteriology lab, septic tank	other	Tertiary hospital, a national refrence hospital	733	12.5	-1.66667	water	55.843	1.9	29.8	hospital effluent
