"Gene"	"Element"	"Class"
"628_tnpA_AY297781.1"	"transposase"	"tnpA"
"1456_tnpA_LT599584.1"	"transposase"	"tnpA"
"1499_tnpA_L14931.1"	"transposase"	"tnpA"
"1798_tnpA_FP475957.1"	"transposase"	"tnpA"
"1841_tnpA_KJ439039.1"	"transposase"	"tnpA"
"286_tnpA_KU997026.1"	"transposase"	"tnpA"
"1811_tnpA-3_AJ877225.1"	"transposase"	"tnpA-3"
"1829_tnpA_AP014810.1"	"transposase"	"tnpA"
"2197_tnpA_AL954747.1"	"transposase"	"tnpA"
"2340_tnpA_AB238971.1"	"transposase"	"tnpA"
"2369_tnpA_AJ431260.1"	"transposase"	"tnpA"
"2562_tnpA_JX448550.1"	"transposase"	"tnpA"
"2607_tnpA_AF544991.1"	"transposase"	"tnpA"
"506_tnpA_AY327575.2"	"transposase"	"tnpA"
"533_tnpA_CBTV010000137.1"	"transposase"	"tnpA"
"704_tnpA_CP002152.1"	"transposase"	"tnpA"
"1030_tnpA_LK931667.1"	"transposase"	"tnpA"
"1121_tnpA_JX486125.1"	"transposase"	"tnpA"
"1122_tnpA_HM560971.1"	"transposase"	"tnpA"
"1159_tnpA_DQ057986.1"	"transposase"	"tnpA"
"1298_tnpA_12_CP012683.1"	"transposase"	"tnpA"
"1335_tnpA1_FN597644.1"	"transposase"	"tnpA1"
"1525_tnpA_KU130294.1"	"transposase"	"tnpA"
"1716_tnpA_AY821803.1"	"transposase"	"tnpA"
"1778_tnpA_JX469829.1"	"transposase"	"tnpA"
"2030_tnpA_HQ730118.1"	"transposase"	"tnpA"
"2179_tnpA_CCYE01000037.1"	"transposase"	"tnpA"
"2185_tnpA_CP003204.1"	"transposase"	"tnpA"
"2431_tnpA3_CP002151.1"	"transposase"	"tnpA3"
"2452_tnpA_CCAE010000033.1"	"transposase"	"tnpA"
"2627_tnpA_ISSod9_AE014300.1"	"transposase"	"tnpA"
"2702_tnpA_EF079106.1"	"transposase"	"tnpA"
"2711_tnpA_AF121000.1"	"transposase"	"tnpA"
"2728_tnpA_LT222315.1"	"transposase"	"tnpA"
"2734_tnpA_JN106164.1"	"transposase"	"tnpA"
"2796_tnpA5_CP002153.1"	"transposase"	"tnpA5"
"330_tnpA_KP893385.1"	"transposase"	"tnpA"
"341_tnpA_KU130294.1"	"transposase"	"tnpA"
"382_tnpA-2_AM261760.1"	"transposase"	"tnpA-2"
"434_tnpA_KC170280.1"	"transposase"	"tnpA"
"446_tnpA_KF856624.1"	"transposase"	"tnpA"
"552_tnpA_AJ344068.1"	"transposase"	"tnpA"
"662_tnpA_AJ251307.2"	"transposase"	"tnpA"
"684_tnpA_AB238971.1"	"transposase"	"tnpA"
"797_tnpA_EF469735.1"	"transposase"	"tnpA"
"926_tnpA2_AJ431260.1"	"transposase"	"tnpA2"
"1770_tnpA_AM039951.1"	"transposase"	"tnpA"
"2614_tnpA_AJ251743.1"	"transposase"	"tnpA"
"498_tnpA_CP003891.1"	"transposase"	"tnpA"
"1227_tnpA_AY780525.1"	"transposase"	"tnpA"
"1549_tnpA_CAGJ01000062.1"	"transposase"	"tnpA"
"2343_tnpA_LXLF01000020.1"	"transposase"	"tnpA"
"2492_tnpA_CAGJ01000127.1"	"transposase"	"tnpA"
"321_tnpA_CCXZ01000015.1"	"transposase"	"tnpA"
"1561_tnpA_AP010803.1"	"transposase"	"tnpA"
"2099_tnpA_AP010805.1"	"transposase"	"tnpA"
"2557_tnpA_CDNB01000043.1"	"transposase"	"tnpA"
"2766_tnpA_LN997849.1"	"transposase"	"tnpA"
"1775_tnpA_CP000040.1"	"transposase"	"tnpA"
"2194_tnpA_LC015492.1"	"transposase"	"tnpA"
"572_tnpA_CP004000.1"	"transposase"	"tnpA"
"2245_tnpA_CP000042.1"	"transposase"	"tnpA"
"2252_tnpA_LK021128.1"	"transposase"	"tnpA"
"1069_tnpA_HE999757.2"	"transposase"	"tnpA"
"1517_tnpA_AGFM01000122.1"	"transposase"	"tnpA"
"1621_tnpA_AY305378.1"	"transposase"	"tnpA"
"693_tnpA_X90708.2"	"transposase"	"tnpA"
"2172_tnpA_CYGX02000051.1"	"transposase"	"tnpA"
"2454_tnpA_CYGY02000079.1"	"transposase"	"tnpA"
"2495_tnpA_FMSH01000496.1"	"transposase"	"tnpA"
"1322_tnpA_FO203427.1"	"transposase"	"tnpA"
"2283_tnpA_CU633751.1"	"transposase"	"tnpA"
"2341_tnpA_KX530813.1"	"transposase"	"tnpA"
"557_tnpA_CP002367.1"	"transposase"	"tnpA"
"832_tnpA_GU591497.1"	"transposase"	"tnpA"
"2780_tnpA_HE999757.2"	"transposase"	"tnpA"
"464_tnpA_CP001603.1"	"transposase"	"tnpA"
"1403_tnpA_JN104632.1"	"transposase"	"tnpA"
"299_tnpA_AH010657.3"	"transposase"	"tnpA"
"1883_tnpA_JN127372.1"	"transposase"	"tnpA"
"1128_tnpA_JNFD01000045.1"	"transposase"	"tnpA"
"1267_tnpA_FO082821.1"	"transposase"	"tnpA"
"345_tnpA_Tn3_likeKR822247.1"	"transposase"	"tnpA"
"1523_tnpA1_JFHO01000231.1"	"transposase"	"tnpA1"
"744_tnpA_AF110140.1"	"transposase"	"tnpA"
"549_tnpA_AP010803.1"	"transposase"	"tnpA"
"279_tnpA_M95402.1"	"transposase"	"tnpA"
"1289_tnpA_GQ468938.1"	"transposase"	"tnpA"
"1907_tnpA_AY232820.1"	"transposase"	"tnpA"
"2503_tnpA1_FMJB01000022.1"	"transposase"	"tnpA1"
"809_tnpA2_JFHO01000231.1"	"transposase"	"tnpA2"
"1091_tnpA_AY327575.2"	"transposase"	"tnpA"
"2205_tnpA_KX029331.1"	"transposase"	"tnpA"
"2267_tnpA_KC354801.1"	"transposase"	"tnpA"
"2735_tnpA_HE616891.1"	"transposase"	"tnpA"
"2273_tnpA_JYHQ01000107.1"	"transposase"	"tnpA"
"2510_tnpA_CANI01000054.1"	"transposase"	"tnpA"
"2443_tnpA_KC543497.1"	"transposase"	"tnpA"
"2035_tnpA_CBSZ010000094.1"	"transposase"	"tnpA"
"1088_tnpA_U33002.1"	"transposase"	"tnpA"
"2002_tnpA_AF072896.1"	"transposase"	"tnpA"
"287_tnpA_KT922275.1"	"transposase"	"tnpA"
"2451_tnpA_JN106169.1"	"transposase"	"tnpA"
"573_tnpA_AP014646.1"	"transposase"	"tnpA"
"1364_tnpA_LN681228.1"	"transposase"	"tnpA"
"1162_tnpA_ISSod4_AE014300.1"	"transposase"	"tnpA"
"308_tnpA_AM234722.1"	"transposase"	"tnpA"
"950_tnpA_CYCY01000048.1"	"transposase"	"tnpA"
"2189_tnpA_M90749.1"	"transposase"	"tnpA"
"2258_tnpA_CAHO01000139.1"	"transposase"	"tnpA"
"1503_tnpA_KF719970.1"	"transposase"	"tnpA"
"1293_tnpA_ISSod1_AE014300.1"	"transposase"	"tnpA"
"1125_tnpA_CXPB01000073.1"	"transposase"	"tnpA"
"2634_Tn916-orf16_KC414929"	"Tn916"	"Tn916-orf16"
"445_tnpA_AE008924.1"	"transposase"	"tnpA"
"1370_tnpA_AE014299.2"	"transposase"	"tnpA"
"1785_tnpA_AE014299.2"	"transposase"	"tnpA"
"1987_tnpA_AE014299.2"	"transposase"	"tnpA"
"660_tnpA_CP000355.2"	"transposase"	"tnpA"
"2034_tnpA1_ADFW01000001.1"	"transposase"	"tnpA1"
"1203_tnpA_LC075716.1"	"transposase"	"tnpA"
"1692_tnpA_AP010806.1"	"transposase"	"tnpA"
"1744_ISCR1_HG003695.1"	"ISCR"	"ISCR1"
"2773_tnpA_JX194160.1"	"transposase"	"tnpA"
"1652_tnpA_ANGG01000530.1"	"transposase"	"tnpA"
"1873_tnpA1_CP000831.1"	"transposase"	"tnpA1"
"1342_tnpA_CP001590.1"	"transposase"	"tnpA"
"1638_tnpA_FJ948173.1"	"transposase"	"tnpA"
"1930_tniA_FJ948173.1"	"tniA"	"tniA"
"1216_tnpA_CP002879.1"	"transposase"	"tnpA"
"729_tnpA_LC155908.1"	"transposase"	"tnpA"
"451_tnpA_KU254577.1"	"transposase"	"tnpA"
"2646_Tn916-orf15_KC414929"	"Tn916"	"Tn916-orf15"
"1033_tnpA_LC198842.1"	"transposase"	"tnpA"
"2536_tnpA_AY850399.1"	"transposase"	"tnpA"
"2498_tnpA_AE014299.2"	"transposase"	"tnpA"
"343_tnpA_KJ933392.1"	"transposase"	"tnpA"
"1952_tnpA_GQ160960.2"	"transposase"	"tnpA"
"1763_tnpA_DQ839391.1"	"transposase"	"tnpA"
"1585_tnpA1000_KX709966.1"	"transposase"	"tnpA1000"
"1980_tnpA_AE014299.2"	"transposase"	"tnpA"
"831_tnpA_KF705206.1"	"transposase"	"tnpA"
"1695_tnpA_AE014299.2"	"transposase"	"tnpA"
"1110_tnpA_GU371928.1"	"transposase"	"tnpA"
"553_tnpA_KP826703.1"	"transposase"	"tnpA"
"1290_tnpA_ISSod8_AE014300.1"	"transposase"	"tnpA"
"1361_tnpA_CP001856.1"	"transposase"	"tnpA"
"2753_tnpA_KT282968.1"	"transposase"	"tnpA"
"1013_tniA_LIHO01000010.1"	"tniA"	"tniA"
"2777_tnpA_CP000354.2"	"transposase"	"tnpA"
"1789_tniA_GQ406245.5"	"tniA"	"tniA"
"440_tniA_JX844629.1"	"tniA"	"tniA"
"596_tniAb_JN968483.3"	"tniAb"	"tniAb"
"2806_tniA_FP929140.1"	"tniA"	"tniA"
"2805_tniA_KU549175.1"	"tniA"	"tniA"
"1498_tnpA_2_HE983995.1"	"transposase"	"tnpA"
"1928_tniA_CP000644.1"	"tniA"	"tniA"
"1408_tnpA3_CP001894.1"	"transposase"	"tnpA3"
"901_tniA_CT025833.1"	"tniA"	"tniA"
"1684_tnpA_LN794248.1"	"transposase"	"tnpA"
"2434_tniA_CP002194.1"	"tniA"	"tniA"
"1489_tniA_KX710093.1"	"tniA"	"tniA"
"2489_tnpA_EF682134.1"	"transposase"	"tnpA"
"401_tnpA_KX243414.1"	"transposase"	"tnpA"
"2033_tnpA_AJ421424.1"	"transposase"	"tnpA"
"2364_tnpA_CP000864.1"	"transposase"	"tnpA"
"856_tnpA_U05888.2"	"transposase"	"tnpA"
"634_tnpA_AF148496.1"	"transposase"	"tnpA"
"1463_tniA_AB270530.1"	"tniA"	"tniA"
"569_tniA_CP000353.2"	"tniA"	"tniA"
"838_tniA_EF107516.1"	"tniA"	"tniA"
"1354_tniA_AEEU01000268.1"	"tniA"	"tniA"
"682_tniA_CTRJ01000005.1"	"tniA"	"tniA"
"1349_tnpA_AE014299.2"	"transposase"	"tnpA"
"964_tnpA_FMSH01000107.1"	"transposase"	"tnpA"
"1957_tnpA_FJ829469.1"	"transposase"	"tnpA"
"2807_tniA_FN806773.1"	"tniA"	"tniA"
"1057_int3_HE577054.1"	"integrase"	"int3"
"2261_tniA_AB063332.1"	"tniA"	"tniA"
"346_tniA_Y17897.1"	"tniA"	"tniA"
"1312_tniA_AJ304453.1"	"tniA"	"tniA"
"2635_tniA_JX194160.1"	"tniA"	"tniA"
"389_tniA_LK391695.1"	"tniA"	"tniA"
"501_tniA_GQ983559.1"	"tniA"	"tniA"
"1491_tniA_AM993098.1"	"tniA"	"tniA"
"1926_tniA_JNFD01000038.1"	"tniA"	"tniA"
"2046_ISBf10_NC006347"	"ISBf10"	"ISBf10"
"1148_tniA_JFYY01000019.1"	"tniA"	"tniA"
"2435_tniA_AGFM01000122.1"	"tniA"	"tniA"
"1095_tniA_AM236084.1"	"tniA"	"tniA"
"699_tnpA_CYAM01000068.1"	"transposase"	"tnpA"
"1753_IS91_CP000272.1"	"insertion_element_IS91"	"IS91"
"1580_tniA_FMJB01000001.1"	"tniA"	"tniA"
"1166_tniA_CP002879.1"	"tniA"	"tniA"
"1929_tniA_AY305378.1"	"tniA"	"tniA"
"2052_tnpA_CU459003.1"	"transposase"	"tnpA"
"386_tnpA_JX077110.1"	"transposase"	"tnpA"
"594_tnpA_DQ875599.1"	"transposase"	"tnpA"
"1582_tnpA_EF628292.1"	"transposase"	"tnpA"
"1218_tnpA_AB985521.1"	"transposase"	"tnpA"
"129_repUS7__rep(pHTbeta)_AB183714"	"plasmid"	"repUS7"
"1557_tnpA_AJ829923.1"	"transposase"	"tnpA"
"528_tnpA_KT282968.1"	"transposase"	"tnpA"
"1050_ISSfl3_AL391753"	"ISSfl3"	"ISSfl3"
"1133_tnpA_KR822246.1"	"transposase"	"tnpA"
"1004_tnpA_KT779035.1"	"transposase"	"tnpA"
"360_tniA_LC155906.1"	"tniA"	"tniA"
"127_repUS5__CDS20(pETB)_NC003265"	"plasmid"	"repUS5"
"2257_tnpA-IS683_KP347127.1"	"transposase"	"tnpA-IS683"
"1564_IS679_NC002142"	"IS679"	"IS679"
"2367_ISBthe5_NC004663"	"ISBthe5"	"ISBthe5"
"1522_tnpA_AY327575.2"	"transposase"	"tnpA"
"514_IS91_MRWY01000004.1"	"insertion_element_IS91"	"IS91"
"1056_IS91_CP019240.1"	"insertion_element_IS91"	"IS91"
"10_rep3_2_rep165(pBMB165)_DQ242517"	"plasmid"	"rep3"
"11_rep3_3_rep(pBT9727)_CP000047"	"plasmid"	"rep3"
"2475_tnpA_APFX01000025.1"	"transposase"	"tnpA"
"823_tnpA_ADOU02000001.1"	"transposase"	"tnpA"
"1445_tnpA_CP000355.2"	"transposase"	"tnpA"
"2041_tnpA_AE007872.2"	"transposase"	"tnpA"
"1082_tnpA_CP015834.1"	"transposase"	"tnpA"
"2687_IS91_CP019238.1"	"insertion_element_IS91"	"IS91"
"517_tnpA_U66917.2"	"transposase"	"tnpA"
"1706_tnpA_AF086815.2"	"transposase"	"tnpA"
"1138_tnpA_KJ588779.1"	"transposase"	"tnpA"
"1825_tnpA1353_KJ541071.1"	"transposase"	"tnpA1353"
"2212_tnpA_AJ245804.1"	"transposase"	"tnpA"
"9_rep3_1_rep63A(pAW63)_BTH011655"	"plasmid"	"rep3"
"12_rep3_4_CDS38(pOX2)_NC002146"	"plasmid"	"rep3"
"1654_tnpAB_CP000352.1"	"transposase"	"tnpAB"
"771_tnpA_ISKpn24_KR822247.1"	"transposase"	"tnpA"
"2322_IS91_CP019242.1"	"insertion_element_IS91"	"IS91"
"824_ISCR-orf513__FJ012881.1"	"ISCR"	"ISCR-orf513"
"1556_tnpA_LC075717.1"	"transposase"	"tnpA"
"1870_istA3_LK391695.1"	"istA3"	"istA3"
"2695_tnpA_EU503121.1"	"transposase"	"tnpA"
"61_rep12_1_CDS32(pBMB67)_DQ363750"	"plasmid"	"rep12"
"829_IS91_MOFD01000166.1"	"insertion_element_IS91"	"IS91"
"1136_tnpA_JX570731.1"	"transposase"	"tnpA"
"1765_tnpA_CP012901.1"	"transposase"	"tnpA"
"2382_tnp-ISCR5_AM849110.1"	"tnp-ISCR"	"tnp-ISCR5"
"2573_tnpA_KU961660.2"	"transposase"	"tnpA"
"485_ISCR21_JN872329.1"	"ISCR"	"ISCR21"
"565_tnp-ISCR5b_AM849110.1"	"tnp-ISCR"	"tnp-ISCR5b"
"719_IS91_MIVX01000023.1"	"insertion_element_IS91"	"IS91"
"2042_tnpA_CAGT01000190.1"	"transposase"	"tnpA"
"2670_tnpA_CP000352.1"	"transposase"	"tnpA"
"2116_IS91_FN649418.1"	"insertion_element_IS91"	"IS91"
"1468_istA_CTRI01000001.1"	"istA"	"istA"
"1304_tnpA_CP006772.1"	"transposase"	"tnpA"
"1847_IS91_CP018031.1"	"insertion_element_IS91"	"IS91"
"1958_istA_KU130294.1"	"istA"	"istA"
"1966_istA_AB270530.1"	"istA"	"istA"
"2339_istA15_LK391695.1"	"istA15"	"istA15"
"2485_istA17_LK391695.1"	"istA17"	"istA17"
"735_istA7_HG916826.1"	"istA7"	"istA7"
"820_istA1_HG916826.1"	"istA1"	"istA1"
"133_repUS11__CDS16(pTEF3)_AE016832"	"plasmid"	"repUS11"
"2421_IS91_MKEM01000335.1"	"insertion_element_IS91"	"IS91"
"62_rep12_2_CDS1(plasmid)_AY278324"	"plasmid"	"rep12"
"1199_istA_KU254577.1"	"istA"	"istA"
"123_repUS1__ORF(E.faeciumContig1258)_JDOE"	"plasmid"	"repUS1"
"548_istA_KU254577.1"	"istA"	"istA"
"2636_istA_JX194160.1"	"istA"	"istA"
"1340_tniA_JX194160.1"	"tniA"	"tniA"
"1345_istA_AB270530.1"	"istA"	"istA"
"7_rep2_1_ORF(E.faeciumContig1183)_JDOE"	"plasmid"	"rep2"
"8_rep2_2_repR(pEF1)_DQ198088"	"plasmid"	"rep2"
"1_rep1_1_repE(pAMbeta1)_AF007787"	"plasmid"	"rep1"
"2568_tnpA_JN106175.1"	"transposase"	"tnpA"
"2786_tnpA_CP000352.1"	"transposase"	"tnpA"
"2_rep1_2_repS(pBT233)_X64695"	"plasmid"	"rep1"
"3_rep1_3_repR(pGB354)_U83488"	"plasmid"	"rep1"
"4_rep1_4_repE(orf17)_NC011140"	"plasmid"	"rep1"
"5_rep1_5_CDS6(pRE25)_X92945"	"plasmid"	"rep1"
"6_rep1_6_repE(pTEF1)_AE016833"	"plasmid"	"rep1"
"2122_IS91_CP018023.1"	"insertion_element_IS91"	"IS91"
"442_tnpA_AE014299.2"	"transposase"	"tnpA"
"2597_IS91_MNXT01000023.1"	"insertion_element_IS91"	"IS91"
"1081_int3_CALN01000327.1"	"integrase"	"int3"
"1531_tnpA_CP003565.1"	"transposase"	"tnpA"
"1718_tnpA_CP011271.1"	"transposase"	"tnpA"
"938_tnpA_BDLP01000034.1"	"transposase"	"tnpA"
"1292_tnpA_AB238971.1"	"transposase"	"tnpA"
"2433_tnpA1_CP002153.1"	"transposase"	"tnpA1"
"1333_tnpA_FJDF01000007.1"	"transposase"	"tnpA"
"1642_tnpAIS50-A_KF056330.2"	"transposase"	"tnpAIS50-A"
"285_tniA_HQ662557.1"	"tniA"	"tniA"
"2706_tnpA_KX710093.1"	"transposase"	"tnpA"
"2733_tnpA_AY823680.1"	"transposase"	"tnpA"
"2236_tnpA_CAGD01000034.1"	"transposase"	"tnpA"
"1722_IS91_KX957972.1"	"insertion_element_IS91"	"IS91"
"2411_tnpA_EF222275.1"	"transposase"	"tnpA"
"2560_tnpA_JN630467.1"	"transposase"	"tnpA"
"768_tnpA3_CP002879.1"	"transposase"	"tnpA3"
"1343_tnpA_5_FJNZ01000013.1"	"transposase"	"tnpA"
"1497_tnpA_FJAO01000001.1"	"transposase"	"tnpA"
"1528_tnpA_JN849689.1"	"transposase"	"tnpA"
"579_tnpA_2_FJNY01000001.1"	"transposase"	"tnpA"
"1548_tnpA_FCOK02000138.1"	"transposase"	"tnpA"
"1519_tnpA_EU503121.1"	"transposase"	"tnpA"
"1761_tnpA_HM370391.1"	"transposase"	"tnpA"
"2001_tnpA_KU666837.1"	"transposase"	"tnpA"
"530_tnpA_KT225462.1"	"transposase"	"tnpA"
"2725_IS91_MNUL01000039.1"	"insertion_element_IS91"	"IS91"
"1236_tnpA_KX029332.1"	"transposase"	"tnpA"
"1378_tnpA_CCWG01000122.1"	"transposase"	"tnpA"
"1820_tnpA_AY437915.1"	"transposase"	"tnpA"
"1127_tnpA_AP014809.1"	"transposase"	"tnpA"
"1799_tnpA_JMTN01000004.1"	"transposase"	"tnpA"
"730_tnpA_KX117210.1"	"transposase"	"tnpA"
"759_tnpA_CP000352.1"	"transposase"	"tnpA"
"1997_tnpA_CCKE01000172.1"	"transposase"	"tnpA"
"1821_tnpA_FLQZ01000083.1"	"transposase"	"tnpA"
"438_tnpA_DQ126685.1"	"transposase"	"tnpA"
"1478_tnpA_JOQR01000001.1"	"transposase"	"tnpA"
"2089_tnpA_CYEY01000102.1"	"transposase"	"tnpA"
"2797_tnpA_U66917.2"	"transposase"	"tnpA"
"391_tnpAcp2_KJ817377.1"	"transposase"	"tnpAcp2"
"850_tnpA_HQ219726.1"	"transposase"	"tnpA"
"140_repUS18__rep(pKKS825)_FN377602.2"	"plasmid"	"repUS18"
"1085_tnpA_AM420293.1"	"transposase"	"tnpA"
"2198_tnpA_KX710093.1"	"transposase"	"tnpA"
"955_tnpA_JQ318854.1"	"transposase"	"tnpA"
"2377_IS91_APJX01000011.1"	"insertion_element_IS91"	"IS91"
"2754_tnpA_CYGH01000010.1"	"transposase"	"tnpA"
"779_tnpA_GU067641.1"	"transposase"	"tnpA"
"2250_tniB_AGFM01000122.1"	"tniB"	"tniB"
"2774_tnpA_CDAH01000009.1"	"transposase"	"tnpA"
"2064_IS91_CP019240.1"	"insertion_element_IS91"	"IS91"
"2722_ISCra1_DQ787200"	"ISCR"	"ISCra1"
"2712_tnpA_FCNZ02000046.1"	"transposase"	"tnpA"
"390_tnpA_FN806773.1"	"transposase"	"tnpA"
"1374_tnpA_JEMZ01000267.1"	"transposase"	"tnpA"
"1894_IS91_LM651928.1"	"insertion_element_IS91"	"IS91"
"993_tnpA_AF403298.1"	"transposase"	"tnpA"
"313_tnpA_CT573071.1"	"transposase"	"tnpA"
"1376_tnpA_CCXZ01000025.1"	"transposase"	"tnpA"
"535_tnpA_FN806773.1"	"transposase"	"tnpA"
"1643_tnpA_JEMY01000043.1"	"transposase"	"tnpA"
"2491_tnpA_KX356458.1"	"transposase"	"tnpA"
"584_tnpA_AM086403.1"	"transposase"	"tnpA"
"1479_tnpA_AB031212.1"	"transposase"	"tnpA"
"483_tnpA_HE577623.1"	"transposase"	"tnpA"
"1071_int3_HG916826.1"	"integrase"	"int3"
"1260_tnpA_AY351675.1"	"transposase"	"tnpA"
"630_tnpA_AY439015.3"	"transposase"	"tnpA"
"836_tnpA_AE014299.2"	"transposase"	"tnpA"
"1089_tnpA_KF295829.1"	"transposase"	"tnpA"
"400_tnpA_KT378598.1"	"transposase"	"tnpA"
"532_IS91_MQAA01000013.1"	"insertion_element_IS91"	"IS91"
"979_tnpA_KX810025.1"	"transposase"	"tnpA"
"1326_tnpA_AF052055.1"	"transposase"	"tnpA"
"1547_tnpA_U66917.2"	"transposase"	"tnpA"
"2332_tnpA_AB183145.1"	"transposase"	"tnpA"
"2788_tnpA_CP002919.1"	"transposase"	"tnpA"
"648_tnpA_CCYP01000054.1"	"transposase"	"tnpA"
"2007_tnpA_AF042490.4"	"transposase"	"tnpA"
"2083_tnpA_CP003732.1"	"transposase"	"tnpA"
"339_tnpA_FN806773.1"	"transposase"	"tnpA"
"344_tnpA_LM676437.1"	"transposase"	"tnpA"
"489_tnpA_FN806773.1"	"transposase"	"tnpA"
"812_tnpA_CDAH01000040.1"	"transposase"	"tnpA"
"895_tnpA_FN806773.1"	"transposase"	"tnpA"
"288_tnpA_HE577623.1"	"transposase"	"tnpA"
"1839_tnpAISSm4_KJ541068.1"	"transposase"	"tnpAISSm4"
"2074_tnpAa_AB088420.3"	"transposase"	"tnpAa"
"2350_tnpA3_CDAZ01000010.1"	"transposase"	"tnpA3"
"2581_IS1166_U08850"	"IS1166"	"IS1166"
"1447_tnpA_CP002291.1"	"transposase"	"tnpA"
"2058_ISCR20-transposase_GU441460.1"	"ISCR"	"ISCR20-transposase"
"1861_tnpA_FJ866609.1"	"transposase"	"tnpA"
"2437_tnpA_KJ488943.1"	"transposase"	"tnpA"
"932_tnpA_AF109404.1"	"transposase"	"tnpA"
"1735_IS91_MLYM01000036.1"	"insertion_element_IS91"	"IS91"
"1880_IS91_CP018031.1"	"insertion_element_IS91"	"IS91"
"1235_tnpA_AM286690.1"	"transposase"	"tnpA"
"1385_IS91_MPUM01000119.1"	"insertion_element_IS91"	"IS91"
"1464_tnpA_ANKQ01000003.1"	"transposase"	"tnpA"
